Date,Close,Open,High,Low,Vol.,Change %,Direction,Day_Name,Market_Structure,Closing_Strength,Prev_Day_Closing_Strength,ATR_14_prev,RSI_14_prev,MarkovO1_Pred_Direction,MarkovO1_Prob_UP,MarkovO1_Prob_DOWN,MarkovO1_Probability
1/3/2000,99.89,101.39,101.57,99.85,2.62K,-1.62%,DOWN,Monday,Undefined_Structure,-0.9535,,,,,,,
1/4/2000,100.1,100.18,100.37,99.7,1.00K,0.21%,DOWN,Tuesday,Downtrend_Forming,0.194,-0.9535,0,,DOWN,0.5,0.5,
1/5/2000,100.05,100.09,100.16,99.4,0.89K,-0.05%,DOWN,Wednesday,Downtrend_Forming,0.7105,0.194,0,,DOWN,0,1,
1/6/2000,100.34,100.05,100.48,99.6,1.55K,0.29%,UP,Thursday,Uptrend_Forming,0.6818,0.7105,0,,DOWN,0,1,
1/7/2000,100.5,100.18,100.7,100.16,2.85K,0.16%,UP,Friday,Uptrend_Forming,0.2593,0.6818,0,,UP,0.5,0.5,
1/10/2000,100.65,100.36,100.91,100.4,0.23K,0.15%,UP,Monday,Uptrend_Forming,-0.0196,0.2593,0,,UP,1,0,
1/11/2000,100.26,100.65,100.77,100.16,1.25K,-0.39%,DOWN,Tuesday,Downtrend_Forming,-0.6721,-0.0196,0,,UP,1,0,
1/12/2000,100.33,100.24,100.61,99.94,0.89K,0.07%,UP,Wednesday,Downtrend_Forming,0.1642,-0.6721,0,,DOWN,0.3333,0.6667,
1/13/2000,100.67,100.3,100.88,100.33,0.37K,0.34%,UP,Thursday,Uptrend_Forming,0.2364,0.1642,0,,UP,0.6667,0.3333,
1/14/2000,101.45,100.65,101.74,100.67,0.08K,0.77%,UP,Friday,Uptrend_Forming,0.4579,0.2364,0,,UP,0.75,0.25,
1/18/2000,101.65,101.43,101.86,101.38,1.81K,0.20%,UP,Tuesday,Uptrend_Forming,0.125,0.4579,0,,UP,0.8,0.2,
1/19/2000,101.46,101.45,101.84,101.4,0.19K,-0.19%,UP,Wednesday,Inside_Bar_Range,-0.7273,0.125,0,,UP,0.8333,0.1667,
1/20/2000,101.15,101.5,101.86,100.96,0.56K,-0.31%,DOWN,Thursday,Outside_Bar_Expansion,-0.5778,-0.7273,0,,UP,0.8571,0.1429,
1/21/2000,101.51,101.1,101.86,101.05,0.69K,0.36%,UP,Friday,Higher_Low_Only,0.1358,-0.5778,0,,DOWN,0.5,0.5,
1/24/2000,101.96,102.07,102.27,101.87,1.08K,0.44%,DOWN,Monday,Uptrend_Forming,-0.55,0.1358,0.7579,71.4778,UP,0.75,0.25,
1/25/2000,102.15,101.7,102.35,101.75,1.28K,0.19%,UP,Tuesday,Outside_Bar_Expansion,0.3333,-0.55,0.758,76.1479,UP,0.6,0.4,
