Date,Close,Open,High,Low,Direction,Day_Name,MarkovO5_Pred_Direction,MarkovO5_Prob_UP,MarkovO5_Prob_DOWN
1/4/2000,283.7,289.5,289.5,280,DOWN,Tuesday,,,
1/5/2000,282.1,283.7,285,281,DOWN,Wednesday,,,
1/6/2000,282.4,281.6,282.8,280.2,UP,Thursday,,,
1/7/2000,282.9,282.5,284.5,282,UP,Friday,,,
1/10/2000,282.7,282.4,283.9,281.8,UP,Monday,,,
1/11/2000,284.4,282.4,285.3,281.9,UP,Tuesday,UP,0.5,0.5
1/12/2000,283.7,284.5,285,282.5,DOWN,Wednesday,UP,0.5,0.5
1/13/2000,285.1,283.5,285.9,282.9,UP,Thursday,DOWN,0.5,0.5
1/14/2000,284.9,285.2,285.6,284,DOWN,Friday,UP,0.5,0.5
1/18/2000,289.6,286.1,289.8,285.9,UP,Tuesday,DOWN,0.5,0.5
1/19/2000,290.3,289.6,291,287.5,UP,Wednesday,UP,0.5,0.5
1/20/2000,289.3,290.3,290.7,288.4,DOWN,Thursday,UP,0.5,0.5
1/21/2000,289.7,289,290.3,287.4,UP,Friday,DOWN,0.5,0.5
1/24/2000,288.1,289.7,289.7,286.3,DOWN,Monday,UP,0.5,0.5
1/25/2000,286.6,288,291.8,286.6,DOWN,Tuesday,UP,1,0
1/26/2000,286.5,286.8,287.5,284.7,DOWN,Wednesday,DOWN,0.5,0.5
1/27/2000,287.1,286.2,287.5,285.6,UP,Thursday,DOWN,0.5,0.5
1/28/2000,286,289.6,290.7,283,DOWN,Friday,UP,0.5,0.5
1/31/2000,286.2,286,287.4,284.9,UP,Monday,DOWN,0.5,0.5
2/1/2000,285.4,286,286.5,285,DOWN,Tuesday,UP,0.5,0.5
2/2/2000,287.7,285.4,289.2,285.3,UP,Wednesday,DOWN,0.5,0.5
2/3/2000,289.9,287.7,290.9,287,UP,Thursday,UP,1,0
2/4/2000,313,290.2,318.5,289.9,UP,Friday,DOWN,0,1
2/7/2000,304.5,318,326.9,302,DOWN,Monday,UP,0.5,0.5
2/8/2000,301.7,306,308,298.5,DOWN,Tuesday,DOWN,0.5,0.5
2/9/2000,308.6,301.7,314,301.7,UP,Wednesday,DOWN,0.5,0.5
2/10/2000,318.7,308.5,319,308.5,UP,Thursday,UP,0.5,0.5
2/11/2000,313.6,318.3,320.4,311,DOWN,Friday,UP,0.5,0.5
2/14/2000,311,313.6,313.6,308.3,DOWN,Monday,DOWN,0.5,0.5
2/15/2000,304.1,310.7,311.5,303.8,DOWN,Tuesday,DOWN,0.5,0.5
2/16/2000,305,304.2,306,299.7,UP,Wednesday,DOWN,0.5,0.5
2/17/2000,303.8,305.3,312.5,300,DOWN,Thursday,DOWN,0,1
2/18/2000,307.3,303.3,307.8,302,UP,Friday,UP,1,0
2/22/2000,307.7,307.6,309.4,304.2,UP,Tuesday,DOWN,0,1
2/23/2000,302.4,307.7,308.2,302.3,DOWN,Wednesday,UP,0.5,0.5
2/24/2000,300.9,302.4,303.5,300.2,DOWN,Thursday,UP,1,0
2/25/2000,294.6,300.9,301.2,293.5,DOWN,Friday,DOWN,0,1
2/28/2000,294.2,294.5,295.4,293.1,DOWN,Monday,UP,1,0
2/29/2000,294.2,293.8,296.5,293.5,UP,Tuesday,DOWN,0.5,0.5
3/1/2000,293.3,294.2,296.2,292.8,DOWN,Wednesday,UP,0.5,0.5
3/2/2000,289.7,292.9,293.3,289.4,DOWN,Thursday,UP,1,0
3/3/2000,290.3,289.7,292.2,289.2,UP,Friday,DOWN,0.5,0.5
3/6/2000,289.4,290.6,291.7,289.2,DOWN,Monday,UP,0.5,0.5
3/7/2000,293.7,289.5,295.4,289.4,UP,Tuesday,DOWN,0.5,0.5
3/8/2000,290.4,293.8,295,289.8,DOWN,Wednesday,UP,0.5,0.5
3/9/2000,292.7,290,293,289.6,UP,Thursday,UP,1,0
3/10/2000,290,292.7,294,289.4,DOWN,Friday,UP,1,0
3/13/2000,291.5,290,292.9,290,UP,Monday,UP,1,0
3/14/2000,289.7,291.7,292.6,289.2,DOWN,Tuesday,UP,0.6667,0.3333
3/15/2000,289.6,289.6,291,289.3,Break Even,Wednesday,,,
3/16/2000,287,289.9,290.4,286.3,DOWN,Thursday,UP,1,0
3/17/2000,285,286.8,287,283.6,DOWN,Friday,DOWN,0,1
3/20/2000,286.5,285,286.9,284.5,UP,Monday,UP,1,0
3/21/2000,290.4,286.5,292,284.2,UP,Tuesday,DOWN,0,1
3/22/2000,288.3,290.4,291.1,288.1,DOWN,Wednesday,UP,0.5,0.5
3/23/2000,285.4,288.4,288.6,283.8,DOWN,Thursday,DOWN,0,1
3/24/2000,285.1,285.6,286.1,284.6,DOWN,Friday,DOWN,0,1
3/27/2000,280.5,285.4,285.4,280.2,DOWN,Monday,DOWN,0.5,0.5
3/28/2000,279.5,280.8,281.8,279.4,DOWN,Tuesday,UP,1,0
3/29/2000,275.9,279.5,280.2,274.8,DOWN,Wednesday,DOWN,0.5,0.5
3/30/2000,279.1,279,280.2,277.9,UP,Thursday,DOWN,0,1
3/31/2000,281.4,279.6,283,277.5,UP,Friday,DOWN,0,1
4/3/2000,280.4,281.5,282,279.7,DOWN,Monday,DOWN,0,1
4/4/2000,286.6,280.7,291.5,278.4,UP,Tuesday,DOWN,0,1
4/5/2000,283.8,286.7,287.1,283.2,DOWN,Wednesday,DOWN,0,1
4/6/2000,282.7,283.8,284.3,281.3,DOWN,Thursday,DOWN,0.5,0.5
4/7/2000,282.5,283,283.6,281.9,DOWN,Friday,DOWN,0,1
4/10/2000,284,281.8,285,281.5,UP,Monday,UP,1,0
4/11/2000,283.7,284.3,286,283.1,DOWN,Tuesday,DOWN,0.3333,0.6667
