Date,Close,Open,High,Low,Direction,Day_Name,MarkovO1_Pred_Direction,MarkovO1_Prob_UP,MarkovO1_Prob_DOWN,MarkovO1_Probability
1/4/2000,5.375,5.42,5.42,5.32,DOWN,Tuesday,,,,
1/5/2000,5.21,5.375,5.38,5.16,DOWN,Wednesday,DOWN,0.5,0.5,
1/6/2000,5.167,5.205,5.215,5.15,DOWN,Thursday,DOWN,0,1,
1/7/2000,5.195,5.17,5.215,5.15,UP,Friday,DOWN,0,1,
1/10/2000,5.19,5.19,5.23,5.17,Break Even,Monday,,,,
1/11/2000,5.195,5.19,5.22,5.19,UP,Tuesday,UP,0.5,0.5,
1/12/2000,5.143,5.205,5.225,5.125,DOWN,Wednesday,UP,1,0,
1/13/2000,5.153,5.14,5.175,5.125,UP,Thursday,DOWN,0.3333,0.6667,
1/14/2000,5.15,5.16,5.18,5.13,DOWN,Friday,UP,0.5,0.5,
1/18/2000,5.165,5.16,5.19,5.125,UP,Tuesday,DOWN,0.5,0.5,
1/19/2000,5.173,5.17,5.19,5.14,UP,Wednesday,DOWN,0.3333,0.6667,
1/20/2000,5.257,5.18,5.285,5.155,UP,Thursday,UP,0.5,0.5,
1/21/2000,5.26,5.26,5.3,5.23,Break Even,Friday,,,,
1/24/2000,5.293,5.26,5.32,5.255,UP,Monday,UP,0.6,0.4,
1/25/2000,5.315,5.295,5.36,5.29,UP,Tuesday,UP,0.6667,0.3333,
1/26/2000,5.283,5.32,5.325,5.255,DOWN,Wednesday,UP,0.7143,0.2857,
1/27/2000,5.415,5.28,5.43,5.255,UP,Thursday,UP,0.6,0.4,
1/28/2000,5.327,5.415,5.5,5.32,DOWN,Friday,UP,0.625,0.375,
1/31/2000,5.317,5.31,5.36,5.275,UP,Monday,UP,0.6667,0.3333,
2/1/2000,5.253,5.32,5.325,5.23,DOWN,Tuesday,UP,0.5556,0.4444,
2/2/2000,5.24,5.255,5.315,5.235,DOWN,Wednesday,UP,0.7143,0.2857,
2/3/2000,5.288,5.24,5.295,5.235,UP,Thursday,UP,0.625,0.375,
2/4/2000,5.572,5.29,5.6,5.28,UP,Friday,UP,0.5,0.5,
2/7/2000,5.285,5.57,5.6,5.26,DOWN,Monday,UP,0.5455,0.4545,
