Date,Close,Open,High,Low,Direction
1/4/2000,5.375,5.42,5.42,5.32,DOWN
1/5/2000,5.21,5.375,5.38,5.16,DOWN
1/6/2000,5.167,5.205,5.215,5.15,DOWN
1/7/2000,5.195,5.17,5.215,5.15,UP
1/10/2000,5.19,5.19,5.23,5.17,Break Even
1/11/2000,5.195,5.19,5.22,5.19,UP
1/12/2000,5.143,5.205,5.225,5.125,DOWN
1/13/2000,5.153,5.14,5.175,5.125,UP
1/14/2000,5.15,5.16,5.18,5.13,DOWN
1/18/2000,5.165,5.16,5.19,5.125,UP
1/19/2000,5.173,5.17,5.19,5.14,UP
1/20/2000,5.257,5.18,5.285,5.155,UP
1/21/2000,5.26,5.26,5.3,5.23,Break Even
1/24/2000,5.293,5.26,5.32,5.255,UP
1/25/2000,5.315,5.295,5.36,5.29,UP
1/26/2000,5.283,5.32,5.325,5.255,DOWN
1/27/2000,5.415,5.28,5.43,5.255,UP
1/28/2000,5.327,5.415,5.5,5.32,DOWN
1/31/2000,5.317,5.31,5.36,5.275,UP
2/1/2000,5.253,5.32,5.325,5.23,DOWN
2/2/2000,5.24,5.255,5.315,5.235,DOWN
2/3/2000,5.288,5.24,5.295,5.235,UP
2/4/2000,5.572,5.29,5.6,5.28,UP
2/7/2000,5.285,5.57,5.6,5.26,DOWN
2/8/2000,5.34,5.29,5.37,5.28,UP
2/9/2000,5.43,5.345,5.46,5.33,UP
2/10/2000,5.425,5.43,5.47,5.35,DOWN
2/11/2000,5.35,5.425,5.445,5.335,DOWN
2/14/2000,5.27,5.355,5.355,5.26,DOWN
2/15/2000,5.258,5.28,5.3,5.25,DOWN
2/16/2000,5.305,5.26,5.32,5.255,UP
2/17/2000,5.265,5.3,5.355,5.25,DOWN
2/18/2000,5.283,5.26,5.295,5.26,UP
2/22/2000,5.293,5.285,5.3,5.24,UP
2/23/2000,5.263,5.3,5.305,5.255,DOWN
2/24/2000,5.17,5.26,5.265,5.16,DOWN
2/25/2000,5.088,5.225,5.245,5.08,DOWN
2/28/2000,5.11,5.11,5.15,5.09,Break Even
2/29/2000,5.108,5.11,5.15,5.1,DOWN
3/1/2000,5.133,5.125,5.19,5.12,UP
3/2/2000,5.063,5.14,5.14,5.06,DOWN
3/3/2000,5.153,5.065,5.17,5.06,UP
3/6/2000,5.105,5.145,5.15,5.1,DOWN
3/7/2000,5.12,5.105,5.165,5.1,UP
3/8/2000,5.125,5.13,5.14,5.11,DOWN
3/9/2000,5.14,5.125,5.155,5.075,UP
3/10/2000,5.107,5.145,5.155,5.105,DOWN
3/13/2000,5.107,5.12,5.16,5.105,DOWN
3/14/2000,5.132,5.12,5.155,5.115,UP
3/15/2000,5.165,5.135,5.2,5.1,UP
3/16/2000,5.125,5.17,5.175,5.09,DOWN
3/17/2000,5.13,5.13,5.14,5.105,Break Even
3/20/2000,5.068,5.13,5.145,5.06,DOWN
3/21/2000,5.158,5.075,5.2,5.065,UP
3/22/2000,5.165,5.165,5.21,5.15,Break Even
3/23/2000,5.123,5.17,5.17,5.1,DOWN
3/24/2000,5.148,5.125,5.17,5.105,UP
3/27/2000,5.12,5.155,5.155,5.105,DOWN
3/28/2000,5.103,5.115,5.135,5.095,DOWN
3/29/2000,4.98,5.105,5.12,4.965,DOWN
3/30/2000,4.983,4.99,4.99,4.92,DOWN
3/31/2000,5.045,4.98,5.05,4.95,UP
4/3/2000,5.057,5.045,5.085,5.035,UP
4/4/2000,5.165,5.055,5.21,5.015,UP
4/5/2000,5.137,5.155,5.19,5.115,DOWN
4/6/2000,5.132,5.135,5.15,5.1,DOWN
4/7/2000,5.122,5.145,5.145,5.105,DOWN
